a lot	a lot: adv. muito
agitate	 vt+vi 1 agitar, sacudir, chocalhar. 2 perturbar, inquietar. 3 discutir, debater. 4 suscitar, ventilar. 5 excitar.
agoraphobia	 n Path agorafobia: medo patológico de estar em lugares abertos.
agrarian	 n agrariano: partidário da redistribuição das propriedades rurais. • adj agrário, relativo aos campos e à agricultura, campestre. 
agree	vt+vi 1 concordar, estar de acordo, ser da mesma opinião. she never agrees with me / ela nunca concorda comigo. 2 harmonizar, corresponder (with com). unripe fruit does not agree with me / frutas verdes me fazem mal. 3 viver em harmonia, dar-se bem. 4 consentir, anuir. 5 chegar a um entendimento ou acordo, fazer ajuste, combinar, pactuar. 6 Gram concordar. as agreed upon! como combinado! it’s agreed upon! de acordo, está combinado! let us agree to differ! são pontos de vista diferentes, mas não vamos discutir por isso. to agree to something estar de acordo com alguma coisa.
agreement	 n 1 consentimento, autorização. 2 entendimento, concordância de opinião, concórdia. 3 harmonia, conformidade. 4 acordo, contrato, pacto, convenção. 5 Gram concordância. by agreement conforme combinação. by general agreement por unanimidade. by mutual agreement de mútuo acordo. forced agreement Com concordata judicial. gentleman’s agreement acordo de cavalheiros. to come to an agreement chegar a um entendimento. to enter into an agreement entrar em acordo. verbal agreement acordo verbal.
agricultural	 adj agrícola, agrário.
agriculturalist	n = agriculturist.
agriculture	 n agricultura.
ahead	 adv 1 à frente, adiante, na dianteira. his ideas are ahead of our time / as suas idéias ultrapassam a nossa época. 2 coll Amer para diante, em posição vantajosa ou avançada. 3 antes, na frente, primeiro. 4 Amer antecipadamente. go ahead! avante! I can’t go ahead não consigo progredir. look ahead! 1 cuidado, atenção! 2 pense no futuro! right ahead! siga diretamente! to be ahead estar à frente. to get ahead avançar, prosperar. to get ahead of tomar a dianteira de, ultrapassar. to go on ahead ir à frente, avançar, progredir. to run ahead of correr na dianteira de (também fig).
aid	 n 1 ajuda, auxílio, apoio, socorro, amparo. 2 ajudante, auxiliar. 3 abbr aid-de-camp. • vt+vi ajudar, auxiliar, socorrer. to aid someone in a thing apoiar alguém num empreendimento. to come to somebody’s aid prestar auxílio a alguém. to give aid to socorrer a alguém.
aim	 n 1 pontaria, mira, ato de visar (arma). 2 linha de mira, campo de visão. 3 alvo, objetivo. 4 intenção, propósito, desígnio. • vt+vi 1 apontar, visar, fazer pontaria. the man aimed at his enemy / o homem visou o seu inimigo. 2 concentrar os esforços para, almejar, ansiar. he aimed at a rich marriage / ele almejava um casamento rico. 3 Amer intencionar, planejar, objetivar. 4 Amer intentar. to take aim at visar alguém ou alguma coisa (também fig).
air	 n 1 ar, atmosfera. 2 espaço aberto. 3 ar livre. 4 aspecto, aparência. he has an air of being ashamed / ele dá a impressão de estar envergonhado. 5 jeito, porte, comportamento, atitude. 6 éter. 7 melodia, cantiga, modinha, toada. 8 transmissão (radiofônica). he is on the air / ele fala no rádio. we are on the air at 5 o’clock / voltaremos ao ar às 5 horas. what’s on the air? / qual é o programa de rádio? 9 airs afetação, presunção, vaidade. don’t give yourself airs! / deixe de bancar o grã-fino! • vt+vi 1 arejar, ventilar, expor ao ar. my cupboard is airing / meu armário está sendo arejado. 2 publicar, divulgar, propalar. he airs his disappointment everywhere / ele manifesta por toda parte a sua decepção. • adj 1 que conduz ou fornece ar. 2 que comprime ou retém ar. 3 utilizado ou acionado com ar comprimido, pneumático. 4 que se refere à aviação, aviatório, que se faz ou desenrola no ar, aéreo. airs and graces comportamento afetado. castles in the air castelos no ar, fantasias. fresh air ar fresco. in the air incerto, sem apoio, no ar. in the open air ao ar livre, no campo. off the air Radio fora do ar. on the air Radio irradiando. there is something in the air fig está para acontecer alguma coisa. to beat the air esforçar-se inutilmente. to take air tornar-se conhecido. to take the air 1 tomar ar, dar um passeio. 2 sair, subir, partir (em avião). to travel by air viajar de avião. up in the air 1 incerto, indeciso. 2 coll irritado, zangado. war in the air guerra aérea.
aircraft	 n aeronave.
aircrew	 n tripulação de avião.
airdrome	 n campo de aviação, aeroporto.
airlock	 n 1 câmara de vácuo ou compressão. 2 sino de mergulhador.
airplane	 n aeroplano, avião. training airplane avião de treino.
airport	 n aeroporto. 
airworthiness	 n Aeron navegabili­dade aérea.
aitch	 n a letra h.
akin	 adj 1 consangüíneo, aparentado. they are akin to her / eles são parentes dela. 2 semelhante, parecido, similar. akin to a thing semelhante a uma coisa.
alarm	 n 1 alarma, alarme. he sounded an alarm / ele deu o alarme. 2 susto, sobressalto, temor. 3 alerta, rebate, sinal de perigo. 4 o que alarma. 5 aparelho de alarme, despertador. • vt 1 alarmar, prevenir, alertar. 2 amedrontar, assustar, inquietar. false alarm alarme falso. fire alarm alarme de incêndio. to be alarmed at (by) ficar inquieto por causa de. to take alarm at inquietar-se, pressentir um perigo.
album	 n 1 álbum (recortes, fotografias, selos). 2 disco de vitrola (LP).
albumenization	 n tratamento ou saturação com albumina.
alcohol	 n 1 álcool. 2 bebida alcoólica, intoxicante. 3 Chem composto orgânico que contém álcool.
alehouse	 n coll cervejaria, taberna, bar.
algal	 adj algáceo.
alien	 n alienígena, estrangeiro. • adj 1 alienígeno, estranho, estrangeiro, forasteiro. 2 oposto, contrário, hostil. 3 divergente, discrepante, de natureza diferente. alien citizens cidadãos estrangeiros. an alien environment um ambiente hostil.
alike	 adj semelhante, parecido, igual, similar, indistinguível. • adv 1 da mesma maneira, do mesmo modo, do mesmo grau. we feel alike in this matter / temos opiniões idênticas a esse respeito. they are alike-minded / eles têm as mesmas convicções. 2 igualmente, da mesma natureza.
alimentary	 adj 1 alimentar. 2 nutritivo, alimentício. 3 que proporciona sustento.
alive	 adj 1 vivo, com vida, animado. is your father still alive? / o seu pai ainda vive? 2 ativo, vigoroso, intenso, em vigor, em função. he keeps alive the traditions / ele mantém vivas as tradições. 3 existente. she is the best woman alive / ela é a melhor das mulheres. 4 enérgico, vivaz, alegre. the girl is all alive / a menina é muito vivaz (ou muito dedicada). 5 alive to sensível a, suscetível de, cônscio de, interessado em. she is very much alive to political news / ela é muito interessada em novidades políticas. 6 aglomerado, abundante, cheio, inçado (with de). this brook is alive with trout / este córrego é cheio de trutas. alive and kicking forte e ativo, cheio de vigor. look alive! depressa!, avante!, atenção! man alive! coll homem de Deus!
alkalization	 n Chem alcalização.
all	 n 1 tudo, totalidade. all has been done / tudo foi feito. all’s well that ends well / o resultado coroa a obra, bem está o que bem acaba. 2 todos os bens (de uma pessoa). 3 universo. • adj 1 todo(s), toda(s), inteiro. he lost all respect for her / perdeu todo o respeito por ela. 2 cada, todos indistintamente. 3 o maior possível, máximo. 4 qualquer, algum, tudo quanto. 5 somente, só, apenas. 6 completo, inteiro. • adv 1 completamente, inteiramente, totalmente, positivamente. he was dressed all in black / ele estava inteiramente vestido de preto. he shivered all over / ele tremeu da cabeça aos pés. I am quite all right! / estou passando bem! the news is all over the place / a novidade é conhecida aqui e em todo lugar. 2 unicamente, exclusivamente. 3 excessivamente, muito, extremamente. 4 quase. I have all but forgotten / quase esqueci. he was all but drowned / por pouco ele não pereceu afogado. he is all but engaged / ele já está praticamente noivo. • pron tudo, todos, todas. what is all this about? / qual é a causa de tudo isso? he wanted all or nothing / ele queria tudo ou nada. all of us want to go / todos nós queremos ir. the trip costs all in all five dollars / no total, a excursão custa cinco dólares. above all acima de tudo, antes de tudo. after all 1 afinal de contas. 2 apesar de tudo. all about em redor. all along sempre, durante todo o tempo. all at once de repente. all day o dia todo. all in tudo incluído. all-in cost custo total. all-in insurance seguro contra todos os riscos. all kind(s) of things muitas coisas (objetos) diferentes. all of tanto quanto, não menos do que. all of a heap coll espantado, perplexo. all of us todos nós. all over the country em todo o país. all right! está bem! muito bem! all-round price preço global. all the better tanto melhor. all the town toda a cidade. all the world and his wife! coll Deus e todo o mundo! all-time record recorde mundial. all too soon cedo demais. all wet 1 completamente molhado. 2 Amer sl totalmente errado. all-weather utilizável sob qualquer condição de tempo. and all that e tudo mais, etc. at all 1 sob qualquer condição. 2 de qualquer modo. at all events em qualquer caso, de todo jeito. before all acima de tudo, antes de tudo. dressed all in green toda vestida de verde. each and all cada um, cada qual. first of all primeiramente, antes de tudo. for all I know ao que eu saiba. for all that apesar de tudo. for all the world! coll isso mesmo, exatamente! good-bye to all that! vamos dar um fim a isto! in all em soma, no total. it is all one (ou the same) to me tudo isto não me importa, é a mesma coisa para mim. it is all up with him coll ele está nas últimas. not at all de jeito nenhum. not for all the world! nem por nada! nothing at all absolutamente nada. once and for all de uma vez para sempre, definitivamente. one and all todos juntos (sem exceção), todo e qualquer. that is all! isto é tudo! basta! that is all very well, but... tudo isto está muito bem, mas... with all my heart com todo o meu coração, com toda a sinceridade.
all of a sudden	all of a sudden: adv. de repente
all over	all over: adv. por todos os lados
all right	adj certo, correto. I am quite all right / eu estou bem (de saúde). • adv 1 sim, está bem. 2 certamente. 3 de boa saúde. 4 satisfatoriamente.
all the more	all the more: adv. bem mais
all the way	all the way: adv. completamente
all the while	all the while: adv. o tempo todo
allegation	 n 1 alegação, declaração, afirmação. 2 asserção, asseveração. 3 desculpa, pretexto.
allege	allege: alegar
allegedly	adv alegadamente, supostamente.
allow	 vt+vi 1 permitir, consentir, tolerar, possibilitar. he allows him time for payment / ele lhe concede um prazo para o pagamento. 2 dar, conceder, conferir. his father allows him 200 £ a year / seu pai lhe concede 200 libras por ano. 3 admitir, reconhecer. I allow that you are right in that / admito sua razão quanto a isto. 4 aprovar, autorizar. 5 descontar. 6 tomar em consideração, levar em conta. you must allow for the short memory of human beings / você precisa fazer concessões em consideração à má memória dos seres humanos. 7 deduzir, conceder abatimento. 8 pôr em conta, acrescentar. 9 deixar acontecer, causar sofrimentos ou prejuízos por descuido ou negligência. allow me! permita-me!, licença! an allowed fool um bobo reconhecido. smoking is not allowed here é proibido fumar neste recinto.
